names;mean;25%;50%;75%;min;max
co_gt;2.168604269293926;1.1;1.8;2.9;0.1;5.6
pt08_s1_co;1098.3034115968348;932.0;1061.0;1234.0;647;1687
c6h6_gt;10.458204695810096;4.7;8.6;14.4;0.1;28.95
pt08_s2_nmhc;953.5794525878842;749.0;925.0;1130.0;749;1701.5
nox_gt;232.36007159127888;89.0;164.0;303.75;0.1;625.875
pt08_s3_nox;848.7626151251784;672.0;818.0;984.0;204;1452
no2_gt;106.25183135275924;73.0;103.0;132.0;0.1;220.5
pt08_s4_no2;1507.3528343494618;1305.0;1508.0;1707.0;702;2310
pt08_s5_o3;1024.2000259437023;737.0;962.0;1272.0;253;2074.5
t;19.476040991049437;13.1;19.3;25.4;0.3;43.85
rh;48.969243741081726;35.5;49.4;62.1;9.2;88.7
ah;1.082098624983781;0.8167;1.0468;1.3713;0.1988;2.231
