names;mean;25%;50%;75%;min;max
co_gt;2.0438707582399753;1.1;1.8;2.8;0.1;5.6
pt08_s1_co;1089.757321076822;930.0;1058.0;1225.0;647;1687
nmhc_gt;183.2142025611176;66.0;137.0;260.5;7.0;607
c6h6_gt;9.795057287503328;4.6;8.4;13.9;0.1;28.95
pt08_s2_nmhc;1051.3478109192395;880.0;1014.0;1189.0;749;1701.5
nox_gt;193.8333892054978;84.25;152.0;267.0;0.1;625.875
pt08_s3_nox;825.3547698465644;667.0;809.0;966.0;204;1452
no2_gt;104.85532994923858;73.0;103.0;131.0;0.1;220.5
pt08_s4_no2;1493.7663502109704;1303.0;1503.0;1696.25;702;2310
pt08_s5_o3;1011.0297704918033;735.0;956.0;1256.0;253;2074.5
t;19.46956014013236;13.1;19.3;25.4;0.3;43.85
rh;48.969243741081726;35.5;49.4;62.1;9.2;88.7
ah;1.082098624983781;0.8167;1.0468;1.3713;0.1988;2.231
